Default maxiter = 1024; set to maxiter = 4096 
1003.0,1061.0,1101.0
1059.0,1127.0,1023.0
1299.0,1114.0,1142.0
1130.0,1279.0,1283.0
1358.0,1345.0,1135.0
531.0,493.0,501.0
272.0,292.0,278.0
197.0,198.0,199.0
155.0,160.0,157.0
137.0,136.0,140.0
119.0,123.0,120.0
111.0,113.0,111.0
102.0,104.0,104.0
98.0,97.0,98.0
92.0,92.0,94.0
91.0,91.0,91.0
88.0,87.0,89.0
86.0,85.0,85.0
83.0,85.0,84.0
81.0,80.0,82.0
79.0,81.0,81.0
78.0,77.0,78.0
79.0,76.0,76.0
77.0,76.0,77.0
76.0,76.0,76.0
75.0,75.0,75.0
74.0,75.0,75.0
74.0,75.0,75.0
74.0,75.0,73.0
73.0,74.0,74.0
72.0,73.0,73.0
72.0,71.0,72.0
71.0,73.0,71.0
71.0,72.0,71.0
72.0,69.0,70.0
71.0,71.0,71.0
72.0,70.0,70.0
70.0,71.0,71.0
69.0,69.0,71.0
70.0,69.0,70.0
70.0,70.0,69.0
70.0,68.0,70.0
70.0,69.0,70.0
70.0,70.0,70.0
69.0,69.0,69.0
70.0,65.0,68.0
68.0,69.0,67.0
68.0,69.0,68.0
67.0,68.0,67.0
67.0,68.0,68.0
67.0,67.0,67.0
66.0,67.0,64.0
67.0,68.0,68.0
65.0,69.0,68.0
66.0,68.0,68.0
64.0,67.0,66.0
65.0,64.0,65.0
64.0,64.0,63.0
64.0,65.0,64.0
64.0,64.0,64.0
64.0,64.0,66.0
64.0,64.0,64.0
64.0,64.0,64.0
61.0,64.0,64.0
64.0,63.0,64.0
64.0,64.0,63.0
64.0,65.0,64.0
62.0,63.0,62.0
62.0,64.0,64.0
64.0,64.0,62.0
64.0,64.0,63.0
63.0,63.0,63.0
64.0,62.0,62.0
62.0,62.0,64.0
62.0,63.0,61.0
64.0,64.0,62.0
62.0,61.0,63.0
62.0,63.0,61.0
61.0,62.0,62.0
61.0,61.0,63.0
63.0,61.0,63.0
61.0,60.0,63.0
62.0,62.0,62.0
63.0,63.0,62.0
62.0,62.0,62.0
61.0,62.0,62.0
61.0,61.0,61.0
61.0,60.0,60.0
62.0,60.0,60.0
60.0,61.0,60.0
60.0,60.0,62.0
62.0,60.0,60.0
60.0,60.0,61.0
61.0,60.0,60.0
60.0,60.0,60.0
61.0,61.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,59.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,59.0,60.0
59.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,59.0
59.0,59.0,60.0
60.0,59.0,60.0
59.0,60.0,60.0
59.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,60.0
60.0,59.0,59.0
59.0,60.0,58.0
59.0,59.0,59.0
60.0,59.0,59.0
4096.0,60.0,59.0
59.0,60.0,59.0
60.0,59.0,60.0
59.0,59.0,59.0
59.0,60.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
60.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,58.0
60.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,58.0
60.0,59.0,60.0
60.0,59.0,59.0
59.0,59.0,59.0
58.0,60.0,59.0
59.0,60.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
59.0,59.0,59.0
58.0,57.0,59.0
59.0,59.0,57.0
59.0,59.0,59.0
58.0,59.0,59.0
59.0,59.0,59.0
58.0,58.0,59.0
58.0,59.0,58.0
59.0,59.0,59.0
59.0,59.0,59.0
58.0,58.0,59.0
59.0,59.0,59.0
57.0,58.0,57.0
58.0,58.0,58.0
57.0,57.0,59.0
59.0,59.0,57.0
58.0,58.0,57.0
57.0,57.0,57.0
58.0,57.0,57.0
57.0,58.0,57.0
57.0,58.0,58.0
57.0,57.0,57.0
58.0,57.0,58.0
57.0,58.0,57.0
57.0,57.0,57.0
57.0,56.0,57.0
58.0,57.0,58.0
58.0,58.0,57.0
58.0,57.0,57.0
58.0,57.0,56.0
58.0,56.0,56.0
57.0,57.0,57.0
58.0,57.0,56.0
56.0,56.0,57.0
57.0,56.0,56.0
58.0,57.0,57.0
56.0,56.0,58.0
56.0,57.0,57.0
56.0,56.0,55.0
56.0,57.0,57.0
57.0,56.0,57.0
56.0,56.0,56.0
57.0,57.0,58.0
56.0,55.0,58.0
